# probe report -- machine-debian-trixie-16341
# taken     : 2026-09-03T23:46:30+02:00
# image     : /home/jean/.shared/DEVEL/repos/MARIONNET-dune-project/website-repo/download/marionnet-install.sh/1.0.x/machine-debian-trixie-16341
# sum       : 16341
# candidates: 2060 (BINARY_LIST of the .conf)
# probes    : help-timeout=5s x-timeout=6s x-only=0
# X server  : DISPLAY=:0 vendor string: The X.Org Foundation X.Org version: 21.1.11 
#
# name	verdict	rc	probe	first line of stderr
[	OK	0	help	
7z	OK	0	help	
7za	OK	0	help	
7zr	OK	0	help	
a2disconf	ERR	2	help	Unknown option: help
a2dismod	ERR	2	help	Unknown option: help
a2dissite	ERR	2	help	Unknown option: help
a2enconf	ERR	2	help	Unknown option: help
a2enmod	ERR	2	help	Unknown option: help
a2ensite	ERR	2	help	Unknown option: help
a2query	OK	0	help	/usr/sbin/a2query version [unknown] calling Getopt::Std::getopts (version 1.14 [paranoid]),
ab	ERR	22	help	/usr/bin/ab: wrong number of arguments
accessdb	OK	0	help	
aclocal	OK	0	help	
aclocal-1.17	OK	0	help	
addgnupghome	OK	1	help	addgnupghome: skeleton directory `/etc/skel/.gnupg' does not exist
addgroup	OK	0	help	
addr2line	OK	0	help	
add-shell	OK	0	help	
adduser	OK	0	help	
adjtimex	OK	0	help	
adjtimexconfig	OK	0	help	adjtimex: unable to open /dev/port read/write: No such file or directory
agentxtrap	OK	1	help	Unrecognized option: --
agetty	OK	0	help	
airbase-ng	OK	1	help	
aircrack-ng	OK	0	help	
airdecap-ng	OK	1	help	
airdecloak-ng	OK	0	help	
aireplay-ng	OK	1	help	
airmon-ng	OK	0	help	
airodump-ng	OK	0	help	
airodump-ng-oui-update	OK	1	help	
airolib-ng	OK	1	help	
airserv-ng	OK	1	help	/usr/sbin/airserv-ng: invalid option -- '-'
airtun-ng	OK	1	help	
airventriloquist-ng	OK	0	help	
amdgpu-arch-19	OK	0	help	
amuFormat.sh	OK	1	help	Usage: amuFormat.sh <Card Type> <drive>
analyze-build-19	OK	0	help	
androiddeployqt6	OK	1	help	QDir::mkpath: Empty or null file name
apache2	OK	1	help	[Thu Sep 03 22:44:26.798471 2026] [core:warn] [pid 11281:tid 11281] AH00111: Config variable ${APACHE_RUN_DIR} is not defined
apache2ctl	X_DIED	1	x	Usage: /usr/sbin/apache2ctl start|stop|restart|graceful|graceful-stop|configtest|status|fullstatus|help
apachectl	X_DIED	1	x	Usage: /usr/sbin/apachectl start|stop|restart|graceful|graceful-stop|configtest|status|fullstatus|help
applygnupgdefaults	OK	1	help	usage: applygnupgdefaults
appres	X_DIED	0	x	
apropos	OK	0	help	
apt	OK	0	help	
apt-cache	OK	0	help	
apt-cdrom	OK	0	help	
apt-config	OK	0	help	
apt-extracttemplates	OK	0	help	
apt-ftparchive	OK	0	help	
apt-get	OK	0	help	
aptitude	OK	0	help	
aptitude-changelog-parser	ERR	25	help	aptitude-changelog-parser: error: cannot open file --help: No such file or directory
aptitude-create-state-bundle	OK	1	help	
aptitude-curses	OK	0	help	
aptitude-run-state-bundle	OK	1	help	
apt-mark	OK	0	help	
apt-sortpkgs	OK	0	help	
ar	OK	0	help	
arch	OK	0	help	
aria2c	OK	0	help	
arj	ERR	7	help	
arjdisp	OK	1	help	
arj-register	OK	1	help	
arp	OK	0	help	    ash (Ash) ether (Ethernet) ax25 (AMPR AX.25) 
arpaname	OK	1	help	
arpd	OK	1	help	/usr/sbin/arpd: invalid option -- '-'
arping	OK	0	help	
arptables	OK	0	help	
arptables-nft	OK	0	help	
arptables-nft-restore	OK	0	help	
arptables-nft-save	OK	1	help	/usr/sbin/arptables-nft-save: unrecognized option '--help'
arptables-restore	OK	0	help	
arptables-save	OK	1	help	/usr/sbin/arptables-save: unrecognized option '--help'
arptables-translate	OK	0	help	
as	OK	0	help	
asan_symbolize-19	OK	0	help	/usr/bin/asan_symbolize-19:319: SyntaxWarning: invalid escape sequence '\('
assistant	OK	1	help	assistant: could not exec '/usr/lib/qt5/bin/assistant': No such file or directory
atftpd	OK	0	help	
atobm	OK	1	help	/usr/bin/atobm: unrecognized option '--help'
attr	OK	1	help	/usr/bin/attr: invalid option -- '-'
autoconf	OK	0	help	
autoheader	OK	0	help	
autom4te	OK	0	help	
automake	OK	0	help	
automake-1.17	OK	0	help	
autoreconf	OK	0	help	
autoscan	OK	0	help	
autoupdate	OK	0	help	
avcstat	OK	0	help	
awk	OK	0	help	
b2sum	OK	0	help	
babeld	OK	1	help	/usr/sbin/babeld: invalid option -- '-'
badblocks	OK	1	help	/usr/sbin/badblocks: invalid option -- '-'
base32	OK	0	help	
base64	OK	0	help	
basename	OK	0	help	
basenc	OK	0	help	
bash	OK	0	help	
bashbug	OK	0	help	
bdftopcf	OK	1	help	/usr/bin/bdftopcf: invalid option '--help'
bdftruncate	OK	1	help	Illegal threshold --help
besside-ng	OK	1	help	/usr/sbin/besside-ng: invalid option -- '-'
besside-ng-crawler	OK	0	help	
bin	MISSING	-	none	not in PATH
binwalk	OK	0	help	
biosdecode	OK	0	help	
bitmap	X_ALIVE	124	x	
blkcalc	OK	1	help	/usr/bin/blkcalc: invalid option -- '-'
blkcat	OK	1	help	/usr/bin/blkcat: invalid option -- '-'
blkdeactivate	OK	0	help	
blkdiscard	OK	0	help	
blkid	OK	0	help	
blkls	OK	1	help	/usr/bin/blkls: invalid option -- '-'
blkmapd	OK	1	help	/usr/sbin/blkmapd: invalid option -- '-'
blkstat	OK	1	help	/usr/bin/blkstat: invalid option -- '-'
blkzone	OK	0	help	
blockdev	OK	0	help	
bmtoa	OK	1	help	/usr/bin/bmtoa: unrecognized option '--help'
brctl	OK	0	help	
bridge	ERR	255	help	Usage: bridge [ OPTIONS ] OBJECT { COMMAND | help }
broadwayd	OK	0	help	
buddy-ng	OK	1	help	/usr/bin/buddy-ng: invalid option -- '-'
bugpoint-19	OK	0	help	
bundle3.3	OK	0	help	
bundler3.3	OK	0	help	
bunzip2	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
busctl	OK	0	help	
bzcat	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzcmp	OK	1	help	
bzdiff	OK	1	help	
bzegrep	ERR	2	help	
bzexe	OK	1	help	
bzfgrep	ERR	2	help	
bzgrep	ERR	2	help	
bzip2	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzip2recover	OK	1	help	bzip2recover 1.0.8: extracts blocks from damaged .bz2 files.
bzless	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzmore	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
c++	OK	0	help	
c89	OK	0	help	
c89-gcc	OK	0	help	
c99	OK	0	help	
c99-gcc	OK	0	help	
capinfos	OK	0	help	
capsh	OK	0	help	
captoinfo	OK	1	help	/usr/bin/captoinfo: invalid option -- '-'
captype	OK	0	help	
